Stage,Status,Date,Team1,Image1,Team2,Image2,Score1,Score2
Matchday 1,,2023-10-01 05:30:00-12:00,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 1,,2023-10-01 06:00:00-12:00,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 1,,2023-10-01 07:00:00-12:00,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 1,,2023-10-01 07:00:00-12:00,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 1,,2023-10-01 08:00:00-12:00,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 1,,2023-10-01 10:30:00-12:00,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 2,,2023-10-08 05:00:00-12:00,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 2,,2023-10-08 05:00:00-12:00,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 2,,2023-10-08 06:00:00-12:00,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 2,,2023-10-08 07:00:00-12:00,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 2,,2023-10-08 07:00:00-12:00,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 2,,2023-10-08 08:00:00-12:00,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 3,,2023-10-15 05:00:00-12:00,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 3,,2023-10-15 05:00:00-12:00,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 3,,2023-10-15 06:00:00-12:00,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 3,,2023-10-15 07:00:00-12:00,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 3,,2023-10-15 07:00:00-12:00,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 3,,2023-10-15 07:00:00-12:00,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 4,,2023-10-21 05:30:00-12:00,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 4,,2023-10-21 05:30:00-12:00,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
