Stage,Status,Date,Team1,Image1,Team2,Image2,Score1,Score2
Matchday 1,,,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 1,,,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 1,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 1,,,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 1,,,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 1,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 2,,,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 2,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 2,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 2,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 2,,,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 2,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 3,,,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 3,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 3,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 3,,,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 3,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 3,,,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 4,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 4,,,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 4,,,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 4,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 4,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 4,,,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 5,,,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 5,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 5,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 5,,,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 5,,,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 5,,,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 6,,,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 6,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 6,,,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 6,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 6,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 6,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 7,,,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 7,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 7,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 7,,,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 7,,,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 7,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 8,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 8,,,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 8,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 8,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 8,,,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 8,,,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 9,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 9,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 9,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
